Word,Alternative.spelling,Freq_pm,Dom_PoS_SUBTLEX,Nletters,Nphon,Nsyll,Lemma_highest_PoS,AoA_Kup,Perc_known,AoA_Kup_lem,Perc_known_lem,AoA_Bird_lem,AoA_Bristol_lem,AoA_Cort_lem,AoA_Schock,mid_level_category
trick,trick,47.27,Noun,5,4,1,trick,6.05,1.0,6.05,1.0,5.89,5.98,5.79,,event_other
drawers,drawers,4.27,Noun,7,5,1,drawers,6.05,1.0,6.05,1.0,,,,,container
eighth,eighth,6.86,Number,6,3,1,eighth,6.05,1.0,6.05,1.0,,7.2,,,Number
hearing,hearing,44.73,Verb,7,5,2,hearing,6.05,1.0,6.05,1.0,,,,,perception
stole,stole,53.16,Verb,5,4,1,stole,6.05,1.0,6.05,1.0,,6.28,5.79,,possession
blonde,blonde,13.92,Adjective,6,5,1,blonde,6.06,1.0,6.06,1.0,,5.88,5.79,,quality
cabinet,cabinet,8.33,Noun,7,7,3,cabinet,6.06,1.0,6.06,1.0,,7.66,,,furniture
captain,captain,208.27,Noun,7,6,2,captain,6.06,1.0,6.06,1.0,,,,5.81,person
cheater,cheater,2.14,Noun,7,4,2,cheater,6.06,0.95,6.06,0.95,,,,,person
checkup,check-up,2.1,Noun,7,5,2,checkup,6.06,1.0,6.06,1.0,,,,,event_other
clue,clue,17.61,Noun,4,3,1,clue,6.06,1.0,6.06,1.0,,6.5,6.53,,communication_other
comfy,comfy,2.25,Adjective,5,5,2,comfy,6.06,0.95,6.06,0.95,,,,,quality
copy,copy,52.27,Noun,4,4,2,copy,6.06,1.0,6.06,1.0,,5.99,,6.47,artifact_other
cubby,cubby,0.78,Noun,5,4,2,cubby,6.06,0.95,6.06,0.95,,,,,room
dalmatian,dalmatian,0.73,Noun,9,8,3,dalmatian,6.06,0.9,6.06,0.9,,,,,animal_other
disgusting,disgusting,26.61,Adjective,10,9,3,disgusting,6.06,1.0,6.06,1.0,8.29,,,,quality
earache,earache,0.29,Noun,7,4,3,earache,6.06,0.86,6.06,0.86,,,,,cognition
finder,finder,1.67,Noun,6,5,2,finder,6.06,1.0,6.06,1.0,,,,,person
graveyard,graveyard,5.33,Noun,9,8,2,graveyard,6.06,1.0,6.06,1.0,,,,,location_other
hairdryer,hairdryer,0.22,Noun,9,7,3,hairdryer,6.06,1.0,6.06,1.0,,,,,unknown
horsehair,horsehair,0.12,Noun,9,7,2,horsehair,6.06,0.89,6.06,0.89,,,,,fabric
hunger,hunger,5.88,Noun,6,5,2,hunger,6.06,1.0,6.06,1.0,,5.62,,4.91,attribute
hunt,hunt,25.86,Verb,4,4,1,hunt,6.06,1.0,6.06,1.0,6.7,,6.17,,competition
imagine,imagine,81.04,Verb,7,6,3,imagine,6.06,1.0,6.06,1.0,6.84,,,,cognition_action
pantyhose,pantyhose,1.71,Noun,9,8,3,pantyhose,6.06,1.0,6.06,1.0,,,,,clothing
pill,pill,11.82,Noun,4,3,1,pill,6.06,1.0,6.06,1.0,,6.86,6.06,,artifact_other
problem,problem,330.06,Noun,7,7,2,problem,6.06,1.0,6.06,1.0,,7.35,,6.0,cognition
pump,pump,12.65,Noun,4,4,1,pump,6.06,1.0,6.06,1.0,7.01,6.83,6.67,,footwear
railroad,railroad,12.43,Noun,8,6,2,railroad,6.06,1.0,6.06,1.0,,,,,artifact_other
south,south,64.47,Noun,5,3,1,south,6.06,1.0,6.06,1.0,6.77,,6.13,,location_other
streetlight,streetlight,0.49,Noun,11,8,2,streetlight,6.06,1.0,6.06,1.0,,,,,device
sunset,sunset,10.31,Noun,6,6,2,sunset,6.06,1.0,6.06,1.0,,,,,event_other
teardrop,teardrop,0.27,Noun,8,7,3,teardrop,6.06,1.0,6.06,1.0,,,,,quantity
thirst,thirst,3.73,Noun,6,4,1,thirst,6.06,1.0,6.06,1.0,,4.39,5.86,,attribute
treasure,treasure,19.06,Noun,8,5,2,treasure,6.06,1.0,6.06,1.0,6.23,,,5.93,relation
twin,twin,10.43,Noun,4,4,1,twin,6.06,1.0,6.06,1.0,,6.22,6.23,,person
unbuckle,unbuckle,0.35,Verb,8,7,3,unbuckle,6.06,1.0,6.06,1.0,,,,,contact
unzip,unzip,0.82,Verb,5,5,2,unzip,6.06,1.0,6.06,1.0,,,,,contact
workman,workman,0.78,Noun,7,6,2,workman,6.06,0.94,6.06,0.94,,,,,person
zigzag,zigzag,0.45,Noun,6,6,2,zigzag,6.06,1.0,6.06,1.0,,,,,attribute
arrow,arrow,7.84,Noun,5,3,2,arrow,6.07,1.0,6.07,1.0,,6.41,,6.54,weapon
rollercoaster,rollercoaster,,,13,9,4,rollercoaster,6.07,1.0,6.07,1.0,,,,,
forwards,forwards,1.39,Adverb,8,7,2,forwards,6.08,1.0,6.08,1.0,6.28,,,,Adverb
bitsy,bitty,0.88,Adjective,5,5,2,bitsy,6.1,1.0,6.1,1.0,,,,,adj_other
field,field,70.2,Noun,5,4,1,field,6.1,1.0,6.1,1.0,,,5.68,,cognition
heater,heater,2.73,Noun,6,4,2,heater,6.1,1.0,6.1,1.0,,,,,device
label,label,6.88,Noun,5,5,2,label,6.1,1.0,6.1,1.0,,,,7.8,event_other
live,live,344.59,Verb,4,3,1,live,6.1,1.0,6.1,1.0,5.51,,5.39,,stative
magnet,magnet,2.75,Noun,6,6,2,magnet,6.1,1.0,6.1,1.0,,,,7.04,device
mayonnaise,mayonnaise,2.25,Noun,10,6,3,mayonnaise,6.1,1.0,6.1,1.0,,,,,food_other
meaning,meaning,37.33,Noun,7,5,2,meaning,6.1,1.0,6.1,1.0,7.18,,,,communication_other
mosquito,mosquito,1.82,Noun,8,7,3,mosquito,6.1,1.0,6.1,1.0,,,,,insect
nightshirt,nightshirt,0.22,Noun,10,5,2,nightshirt,6.1,1.0,6.1,1.0,,,,,clothing
ornament,ornament,1.14,Noun,8,8,3,ornament,6.1,1.0,6.1,1.0,,6.15,,,artifact_other
schoolbook,schoolbook,0.08,Noun,10,7,2,schoolbook,6.1,1.0,6.1,1.0,,,,,artifact_other
weenie,weenie,2.82,Noun,6,4,2,weenie,6.1,0.95,6.1,0.95,,,,,meat
as,as,2217.02,Conjunction,2,2,1,as,6.1,1.0,6.1,1.0,4.43,,4.27,,Conjunction
felt,felt,119.82,Verb,4,4,1,felt,6.1,1.0,6.1,1.0,,,6.33,,cognition_action
fifteen,fifteen,17.55,Number,7,6,2,fifteen,6.1,1.0,6.1,1.0,,5.88,,,Number
axe,axe,4.88,Noun,3,3,1,axe,6.11,1.0,6.11,1.0,,6.3,6.67,,tool
backdoor,backdoor,0.59,Noun,8,6,2,backdoor,6.11,1.0,6.11,1.0,,,,,communication_written
badge,badge,15.25,Noun,5,3,1,badge,6.11,1.0,6.11,1.0,,5.48,6.74,,cognition
beanbag,beanbag,0.51,Noun,7,6,2,beanbag,6.11,1.0,6.11,1.0,,,,,container
beer,beer,75.49,Noun,4,3,1,beer,6.11,1.0,6.11,1.0,,7.24,9.17,,beverage
blackbird,blackbird,0.82,Noun,9,7,2,blackbird,6.11,1.0,6.11,1.0,,,,,bird
blessed,blessed,13.8,Adjective,7,5,1,blessed,6.11,1.0,6.11,1.0,,,,,quality
broomstick,broomstick,0.84,Noun,10,8,2,broomstick,6.11,1.0,6.11,1.0,,,,,artifact_other
checkers,checkers,1.88,Noun,8,5,2,checkers,6.11,1.0,6.11,1.0,,,,,game
choke,choke,6.47,Verb,5,3,1,choke,6.11,1.0,6.11,1.0,5.86,,6.67,,change
chomp,chomp,0.25,Verb,5,4,1,chomp,6.11,1.0,6.11,1.0,,,,,consumption
cooler,cooler,7.06,Noun,6,4,2,cooler,6.11,1.0,6.11,1.0,,,,,beverage
crash,crash,28.65,Noun,5,4,1,crash,6.11,1.0,6.11,1.0,,5.48,5.26,,event_other
creamy,creamy,1.18,Adjective,6,5,2,creamy,6.11,1.0,6.11,1.0,,,,,quality
deadly,deadly,9.88,Adjective,6,5,2,deadly,6.11,1.0,6.11,1.0,,,,,quality
doorstep,doorstep,3.37,Noun,8,7,2,doorstep,6.11,1.0,6.11,1.0,,,,,device
drool,drool,2.16,Verb,5,4,1,drool,6.11,1.0,6.11,1.0,,,5.68,,body_action
elementary,elementary,4.75,Adjective,10,9,4,elementary,6.11,1.0,6.11,1.0,,,,,quality
embarrass,embarrass,8.82,Verb,9,7,3,embarrass,6.11,1.0,6.11,1.0,8.86,,,,social
extra,extra,59.16,Adjective,5,6,2,extra,6.11,1.0,6.11,1.0,,6.67,,6.82,quality
heaviness,heaviness,0.22,Noun,9,7,3,heaviness,6.11,1.0,6.11,1.0,,,,,emotion
hoop,hoop,2.69,Noun,4,3,1,hoop,6.11,1.0,6.11,1.0,,,6.06,,artifact_other
hump,hump,4.41,Noun,4,4,1,hump,6.11,1.0,6.11,1.0,,7.39,8.36,,attribute
lawnmower,lawnmower,0.47,Noun,9,6,3,lawnmower,6.11,1.0,6.11,1.0,,,,,unknown
lighthouse,lighthouse,3.08,Noun,10,6,2,lighthouse,6.11,1.0,6.11,1.0,,,,,structure
mailbox,mailbox,4.16,Noun,7,7,2,mailbox,6.11,1.0,6.11,1.0,,,,,container
noggin,noggin,0.67,Noun,6,5,2,noggin,6.11,1.0,6.11,1.0,,,,9.05,body_part
path,path,24.55,Noun,4,3,1,path,6.11,1.0,6.11,1.0,,5.5,5.93,,location_other
permission,permission,31.12,Noun,10,7,3,permission,6.11,1.0,6.11,1.0,,,,,communication_other
playroom,playroom,0.8,Noun,8,6,2,playroom,6.11,1.0,6.11,1.0,,,,,room
poor,poor,129.08,Adjective,4,3,1,poor,6.11,1.0,6.11,1.0,5.3,,6.2,,quality
preacher,preacher,6.71,Noun,8,5,2,preacher,6.11,0.95,6.11,0.95,7.74,,,,person
raggedy,raggedy,1.29,Adjective,7,6,3,raggedy,6.11,0.95,6.11,0.95,,,,,adj_other
raindrop,raindrop,0.24,Noun,8,7,2,raindrop,6.11,1.0,6.11,1.0,,,,,quantity
recliner,recliner,0.18,Noun,8,7,3,recliner,6.11,1.0,6.11,1.0,,,,,furniture
rip,rip,20.16,Verb,3,3,1,rip,6.11,1.0,6.11,1.0,,,5.75,,contact
rose,rose,53.02,Noun,4,3,1,rose,6.11,1.0,6.11,1.0,5.57,,4.99,,beverage
sewing,sewing,3.88,Noun,6,4,2,sewing,6.11,0.95,6.11,0.95,,,,,artifact_other
sharp,sharp,23.78,Adjective,5,4,1,sharp,6.11,1.0,6.11,1.0,,4.77,5.19,,quality
smudge,smudge,1.0,Noun,6,4,1,smudge,6.11,1.0,6.11,1.0,,,7.84,,event_other
speaker,speaker,6.9,Noun,7,5,2,speaker,6.11,1.0,6.11,1.0,7.72,,,,person
sucker,sucker,16.35,Noun,6,4,2,sucker,6.11,1.0,6.11,1.0,,,,,person
sundown,sundown,3.41,Noun,7,6,2,sundown,6.11,1.0,6.11,1.0,,,,,cognition
swoop,swoop,1.53,Verb,5,4,1,swoop,6.11,1.0,6.11,1.0,,,7.37,,motion
toad,toad,5.69,Noun,4,3,1,toad,6.11,1.0,6.11,1.0,6.73,,4.86,,animal_other
toddler,toddler,0.78,Noun,7,5,2,toddler,6.11,1.0,6.11,1.0,,,,5.62,person
upward,upward,1.69,Adjective,6,5,2,upward,6.11,1.0,6.11,1.0,,6.28,,,quality
warning,warning,31.96,Noun,7,6,2,warning,6.11,1.0,6.11,1.0,6.81,,,,event_other
wild,wild,57.31,Adjective,4,4,1,wild,6.11,1.0,6.11,1.0,,6.94,6.13,,quality
wrapper,wrapper,1.67,Noun,7,4,2,wrapper,6.11,1.0,6.11,1.0,,,,,clothing
youngster,youngster,1.45,Noun,9,6,2,youngster,6.11,1.0,6.11,1.0,7.12,,,,person
alike,alike,11.35,Adverb,5,4,2,alike,6.12,1.0,6.12,1.0,,,,6.82,Adverb
anything,anything,907.25,Pronoun,8,6,3,anything,6.12,1.0,6.12,1.0,4.87,,,,Pronoun
jean,jean,17.73,Name,4,3,1,jean,6.12,1.0,6.12,1.0,,6.81,,,Name
doodah,doodah,0.02,Noun,6,4,2,doodah,6.12,0.89,6.12,0.89,,,,,unknown
racoon,racoon,0.2,0.20,6,5,2,racoon,6.14,1.0,6.14,1.0,10.32,,,,0.20
whatever,whatever,246.75,Determiner,8,6,3,whatever,6.14,1.0,6.14,1.0,7.05,,,,Determiner
librarian,librarian,2.88,Noun,9,9,4,librarian,6.14,1.0,6.14,1.0,8.23,,,,person
pit,pit,13.22,Noun,3,3,1,pit,6.14,1.0,6.14,1.0,,6.35,6.2,,body_part
apricot,apricot,0.63,Noun,7,7,3,apricot,6.15,0.95,6.15,0.95,,7.71,,,fruit
beat,beat,131.69,Verb,4,3,1,beat,6.15,1.0,6.15,1.0,5.77,,5.47,,competition
foam,foam,3.51,Noun,4,3,1,foam,6.15,1.0,6.15,1.0,,6.24,5.99,,material
mountain,mountain,35.39,Noun,8,6,2,mountain,6.15,1.0,6.15,1.0,,5.77,,5.49,natural_elevation
shack,shack,5.65,Noun,5,3,1,shack,6.15,1.0,6.15,1.0,,,7.63,,structure
bob,bob,91.49,Name,3,3,1,bob,6.16,0.95,6.16,0.95,,,7.08,,Name
perfectly,perfectly,43.25,Adverb,9,8,3,perfectly,6.16,1.0,6.16,1.0,7.55,,,,Adverb
well,well,2990.65,Adverb,4,3,1,well,6.16,1.0,6.16,1.0,5.37,,4.93,,Adverb
ambulance,ambulance,22.41,Noun,9,9,3,ambulance,6.16,1.0,6.16,1.0,,,,,vehicle
band,band,53.41,Noun,4,4,1,band,6.16,1.0,6.16,1.0,,4.88,6.53,,artifact_other
blob,blob,1.18,Noun,4,4,1,blob,6.16,1.0,6.16,1.0,,,6.87,,attribute
boss,boss,124.29,Noun,4,3,1,boss,6.16,1.0,6.16,1.0,,7.6,6.74,,structure
building,building,99.57,Noun,8,6,2,building,6.16,1.0,6.16,1.0,,6.09,,5.68,building
buttery,buttery,0.33,Noun,7,5,3,buttery,6.16,0.95,6.16,0.95,,,,,room
cart,cart,9.04,Noun,4,4,1,cart,6.16,1.0,6.16,1.0,,5.3,5.93,,vehicle
cuddle,cuddle,2.16,Verb,6,5,2,cuddle,6.16,1.0,6.16,1.0,4.23,,,5.93,contact
dryer,dryer,4.53,Noun,5,4,2,dryer,6.16,1.0,6.16,1.0,,,,6.2,appliance
gown,gown,6.55,Noun,4,3,1,gown,6.16,1.0,6.16,1.0,7.53,,7.77,,clothing
hillside,hillside,1.22,Noun,8,6,2,hillside,6.16,1.0,6.16,1.0,,,,,object
licker,licker,0.1,Noun,6,4,2,licker,6.16,0.95,6.16,0.95,,,,,unknown
nature,nature,45.16,Noun,6,4,2,nature,6.16,1.0,6.16,1.0,,6.88,,6.4,attribute
news,news,164.69,Noun,4,3,1,news,6.16,1.0,6.16,1.0,,,,,communication_other
pail,pail,0.94,Noun,4,3,1,pail,6.16,1.0,6.16,1.0,,,6.53,,container
private,private,75.96,Adjective,7,6,2,private,6.16,1.0,6.16,1.0,,,,7.04,quality
question,question,198.35,Noun,8,7,2,question,6.16,1.0,6.16,1.0,,6.35,,5.25,communication_other
sniff,sniff,3.55,Verb,5,4,1,sniff,6.16,1.0,6.16,1.0,,,5.73,,perception
tire,tyre,12.37,Verb,4,3,2,tire,6.16,1.0,6.16,1.0,,8.51,5.86,,body_action
walnut,walnut,1.96,Noun,6,6,2,walnut,6.16,1.0,6.16,1.0,,,,6.4,tree
whack,whack,8.92,Verb,5,3,1,whack,6.16,1.0,6.16,1.0,,6.3,6.81,,contact
actress,actress,16.02,Noun,7,6,2,actress,6.17,1.0,6.17,1.0,,6.22,,6.82,person
baldhead,baldhead,0.04,Noun,8,7,2,baldhead,6.17,1.0,6.17,1.0,,,,,person
bounce,bounce,9.84,Verb,6,4,1,bounce,6.17,1.0,6.17,1.0,,5.45,5.19,,motion
commercial,commercial,16.25,Adjective,10,7,3,commercial,6.17,1.0,6.17,1.0,,10.34,,,quality
domino,domino,4.02,Noun,6,6,3,domino,6.17,1.0,6.17,1.0,,,,,artifact_other
edge,edge,23.51,Noun,4,2,1,edge,6.17,1.0,6.17,1.0,,6.24,6.58,,attribute
exercise,exercise,17.73,Noun,8,7,3,exercise,6.17,1.0,6.17,1.0,6.46,,,,event_other
happiness,happiness,24.49,Noun,9,7,3,happiness,6.17,1.0,6.17,1.0,,6.71,,,emotion
hip,hip,15.41,Noun,3,3,1,hip,6.17,1.0,6.17,1.0,,,5.79,,body_part
reddish,reddish,0.2,Adjective,7,5,2,reddish,6.17,0.95,6.17,0.95,,,,,quality
redness,redness,0.2,Noun,7,6,2,redness,6.17,1.0,6.17,1.0,,,,,cognition
slip,slip,25.88,Verb,4,4,1,slip,6.17,1.0,6.17,1.0,,5.24,5.61,,motion
soul,soul,76.96,Noun,4,3,1,soul,6.17,1.0,6.17,1.0,,9.22,7.22,,person
steal,steal,53.33,Verb,5,4,1,steal,6.17,1.0,6.17,1.0,6.01,,6.17,,possession
sunny,sunny,7.67,Adjective,5,4,2,sunny,6.17,1.0,6.17,1.0,,,,4.54,quality
teammate,teammate,0.9,Noun,8,5,2,teammate,6.17,1.0,6.17,1.0,,,,,person
teary,teary,0.08,Adjective,5,4,2,teary,6.17,0.95,6.17,0.95,,,,,quality
temperature,temperature,13.76,Noun,11,8,3,temperature,6.17,1.0,6.17,1.0,7.31,,,,quantity
tugboat,tugboat,0.45,Noun,7,6,2,tugboat,6.17,0.95,6.17,0.95,,,,,vehicle
understand,understand,482.45,Verb,10,9,3,understand,6.17,1.0,6.17,1.0,7.22,,,,cognition_action
fishingpole,fishing pole,,,11,8,3,fishingpole,6.18,1.0,6.18,1.0,,,,,
upon,upon,62.73,Preposition,4,4,2,upon,6.18,1.0,6.18,1.0,4.93,,,6.47,Preposition
cauliflower,cauliflower,0.55,Noun,11,8,4,cauliflower,6.18,1.0,6.18,1.0,,,,,vegetable
flytrap,flytrap,0.2,Noun,7,7,2,flytrap,6.18,0.94,6.18,0.94,,,,,device
miaow,meow,0.06,0.06,5,4,2,miaow,6.19,0.47,6.19,0.47,4.71,,,,0.06
smoker,smoker,2.27,Noun,6,5,2,smoker,6.19,1.0,6.19,1.0,,,,,person
applause,applause,11.29,Noun,8,5,2,applause,6.2,0.95,6.2,0.95,,,,7.41,communication_other
card,card,85.43,Noun,4,4,1,card,6.2,1.0,6.2,1.0,,5.05,5.4,,material
art,art,70.8,Noun,3,3,1,art,6.21,1.0,6.21,1.0,6.06,,4.92,,artifact_other
bogeyman,bogeyman,0.86,Noun,8,7,3,bogeyman,6.21,1.0,6.21,1.0,,,,,cognition
bozo,bozo,2.47,Noun,4,4,2,bozo,6.21,1.0,6.21,1.0,,,,9.05,person
brat,brat,6.22,Noun,4,4,1,brat,6.21,1.0,6.21,1.0,,,6.03,,meat
celebrate,celebrate,24.86,Verb,9,8,3,celebrate,6.21,1.0,6.21,1.0,,,,,social
cheesy,cheesy,2.61,Adjective,6,4,2,cheesy,6.21,1.0,6.21,1.0,,,,,quality
cranky,cranky,3.35,Adjective,6,6,2,cranky,6.21,1.0,6.21,1.0,,,,,quality
error,error,9.27,Noun,5,3,2,error,6.21,1.0,6.21,1.0,,8.45,,7.88,event_other
excited,excited,48.61,Adjective,7,7,3,excited,6.21,1.0,6.21,1.0,6.02,,,,quality
fog,fog,9.45,Noun,3,3,1,fog,6.21,1.0,6.21,1.0,,,5.99,,attribute
gal,gal,14.22,Noun,3,3,1,gal,6.21,1.0,6.21,1.0,,,,,person
guest,guest,39.94,Noun,5,4,1,guest,6.21,1.0,6.21,1.0,,6.2,6.87,,person
jog,jog,2.41,Verb,3,3,1,jog,6.21,1.0,6.21,1.0,10.58,,6.23,,motion
midnight,midnight,28.37,Noun,8,6,2,midnight,6.21,1.0,6.21,1.0,,6.62,,6.33,cognition
munchkin,munchkin,0.8,Noun,8,7,2,munchkin,6.21,1.0,6.21,1.0,,,,7.57,unknown
owl,owl,5.61,Noun,3,2,1,owl,6.21,1.0,6.21,1.0,,5.5,4.79,,bird
pepperoni,pepperoni,2.57,Noun,9,7,4,pepperoni,6.21,1.0,6.21,1.0,,,,,meat
pigeon,pigeon,5.9,Noun,6,5,2,pigeon,6.21,1.0,6.21,1.0,,6.56,,6.68,bird
rainwater,rainwater,0.22,Noun,9,7,3,rainwater,6.21,1.0,6.21,1.0,,,,,material
rough,rough,37.39,Adjective,5,3,1,rough,6.21,1.0,6.21,1.0,,6.07,6.6,,quality
scrape,scrape,4.12,Verb,6,5,1,scrape,6.21,1.0,6.21,1.0,6.37,,6.65,,contact
shoestring,shoestring,0.25,Noun,10,7,2,shoestring,6.21,1.0,6.21,1.0,,,,,quantity
show,show,488.35,Verb,4,2,1,show,6.21,1.0,6.21,1.0,5.19,,4.8,,perception
silver,silver,31.75,Noun,6,5,2,silver,6.21,1.0,6.21,1.0,,6.41,,6.61,metal
sting,sting,7.02,Noun,5,4,1,sting,6.21,1.0,6.21,1.0,,5.35,5.73,,cognition
stool,stool,3.51,Noun,5,4,1,stool,6.21,1.0,6.21,1.0,,4.26,6.47,,furniture
strength,strength,36.92,Noun,8,7,1,strength,6.21,1.0,6.21,1.0,,6.56,6.94,,attribute
sunshiny,sunshiny,0.22,Adjective,8,7,3,sunshiny,6.21,0.78,6.21,0.78,,,,,adj_other
tornado,tornado,2.55,Noun,7,7,3,tornado,6.21,1.0,6.21,1.0,,,,,substance_other
following,following,45.29,Verb,9,6,3,following,6.21,1.0,6.21,1.0,6.41,7.86,,,social
belch,belch,0.73,Verb,5,4,1,belch,6.22,1.0,6.22,1.0,,,8.63,,body_action
blueberry,blueberry,2.57,Noun,9,7,3,blueberry,6.22,1.0,6.22,1.0,,,,,fruit
breeze,breeze,8.04,Noun,6,4,1,breeze,6.22,1.0,6.22,1.0,,7.05,5.99,,event_other
caution,caution,5.16,Noun,7,5,2,caution,6.22,1.0,6.22,1.0,,8.47,,7.11,attribute
ditch,ditch,7.86,Verb,5,3,1,ditch,6.22,1.0,6.22,1.0,,5.94,7.08,,possession
fresh,fresh,54.51,Adjective,5,4,1,fresh,6.22,1.0,6.22,1.0,,6.6,6.53,,quality
heavenly,heavenly,5.53,Adjective,8,7,3,heavenly,6.22,1.0,6.22,1.0,,,,,relational_adj
highschool,highschool,0.18,Noun,10,6,2,highschool,6.22,1.0,6.22,1.0,,,,,group
honeybee,honeybee,0.2,Noun,8,6,3,honeybee,6.22,1.0,6.22,1.0,,,,,insect
jewel,jewel,7.24,Noun,5,4,2,jewel,6.22,1.0,6.22,1.0,,5.94,,6.68,person
paintbrush,paintbrush,0.53,Noun,10,8,2,paintbrush,6.22,1.0,6.22,1.0,,,,,device
playful,playful,1.16,Adjective,7,6,2,playful,6.22,1.0,6.22,1.0,,,,,quality
speech,speech,38.04,Noun,6,4,1,speech,6.22,1.0,6.22,1.0,,7.39,6.78,,communication_spoken
teapot,teapot,0.86,Noun,6,5,2,teapot,6.22,1.0,6.22,1.0,,,,,container
temper,temper,11.41,Noun,6,5,2,temper,6.22,1.0,6.22,1.0,,6.71,,7.19,emotion
toffee,toffee,0.43,Noun,6,4,2,toffee,6.22,1.0,6.22,1.0,,,,,food_other
traffic,traffic,28.51,Noun,7,6,2,traffic,6.22,1.0,6.22,1.0,,5.92,,7.04,event_other
undershorts,undershorts,0.12,Noun,11,9,3,undershorts,6.22,1.0,6.22,1.0,,,,,unknown
wildlife,wildlife,1.92,Noun,8,7,2,wildlife,6.22,1.0,6.22,1.0,,,,,group
aloud,aloud,1.84,Adverb,5,4,2,aloud,6.22,1.0,6.22,1.0,,7.09,,7.19,Adverb
vitamins,vitamins,3.55,Noun,8,8,3,vitamins,6.22,1.0,6.22,1.0,,,,,food_other
spoke,spoke,38.63,Verb,5,4,1,spoke,6.23,1.0,6.23,1.0,,6.62,7.08,,communication
practice,practice,45.69,Noun,8,7,2,practice,6.24,1.0,6.24,1.0,7.66,,,6.47,event_other
trusty,trusty,1.41,Adjective,6,6,2,trusty,6.24,0.94,6.24,0.94,,,,,quality
bored,bored,20.18,Adjective,5,4,1,bored,6.25,1.0,6.25,1.0,,,6.13,,quality
cockroach,cockroach,3.41,Noun,9,6,2,cockroach,6.25,1.0,6.25,1.0,,,,,insect
envelope,envelope,10.06,Noun,8,7,3,envelope,6.25,1.0,6.25,1.0,,,,,container
flame,flame,9.04,Noun,5,4,1,flame,6.25,1.0,6.25,1.0,4.81,5.75,6.6,,process
gallon,gallon,2.27,Noun,6,5,2,gallon,6.25,1.0,6.25,1.0,7.26,,,7.11,quantity
gasoline,gasoline,6.53,Noun,8,7,3,gasoline,6.25,1.0,6.25,1.0,,,,,substance_other
guard,guard,58.2,Noun,5,4,1,guard,6.25,1.0,6.25,1.0,6.84,6.41,7.36,,device
kazoo,kazoo,0.61,Noun,5,4,2,kazoo,6.25,0.89,6.25,0.89,,,,10.22,musical_instrument
mailbag,mailbag,0.1,Noun,7,6,2,mailbag,6.25,1.0,6.25,1.0,,,,,container
microphone,microphone,4.55,Noun,10,8,3,microphone,6.25,1.0,6.25,1.0,,,,,device
pineapple,pineapple,2.55,Noun,9,7,3,pineapple,6.25,1.0,6.25,1.0,,,,,fruit
sneaker,sneaker,0.69,Noun,7,5,2,sneaker,6.25,1.0,6.25,1.0,,,,,footwear
split,split,38.31,Verb,5,5,1,split,6.25,1.0,6.25,1.0,6.5,6.56,7.08,,social
undersea,undersea,0.78,Adjective,8,6,3,undersea,6.25,1.0,6.25,1.0,,,,,quality
alphabetical,alphabetical,0.86,Adjective,12,11,5,alphabetical,6.26,1.0,6.26,1.0,,,,,relational_adj
arrive,arrive,18.69,Verb,6,3,2,arrive,6.26,1.0,6.26,1.0,,5.92,,7.88,motion
awful,awful,63.41,Adjective,5,4,2,awful,6.26,1.0,6.26,1.0,5.87,,,6.33,quality
calm,calm,89.04,Verb,4,3,1,calm,6.26,1.0,6.26,1.0,7.24,6.67,5.86,,verb_other
charming,charming,28.12,Adjective,8,6,2,charming,6.26,1.0,6.26,1.0,7.62,,,,quality
countdown,countdown,3.53,Noun,9,7,2,countdown,6.26,1.0,6.26,1.0,,,,,event_other
drain,drain,8.63,Noun,5,4,1,drain,6.26,1.0,6.26,1.0,,6.15,6.65,,artifact_other
exciting,exciting,34.82,Adjective,8,7,3,exciting,6.26,1.0,6.26,1.0,,,,,quality
girlfriend,girlfriend,76.1,Noun,10,8,2,girlfriend,6.26,1.0,6.26,1.0,,,,,person
handlebar,handlebar,0.2,Noun,9,9,3,handlebar,6.26,1.0,6.26,1.0,,,,,artifact_other
hook,hook,38.0,Noun,4,3,1,hook,6.26,1.0,6.26,1.0,,6.33,6.13,,device
kindness,kindness,9.02,Noun,8,7,2,kindness,6.26,1.0,6.26,1.0,,6.62,,,event_other
learner,learner,1.2,Noun,7,4,2,learner,6.26,1.0,6.26,1.0,,,,,person
octopus,octopus,1.94,Noun,7,7,3,octopus,6.26,1.0,6.26,1.0,,,,,animal_other
order,order,156.57,Noun,5,4,2,order,6.26,1.0,6.26,1.0,6.81,6.92,,6.82,attribute
panty,panty,1.04,Adjective,5,5,2,panty,6.26,1.0,6.26,1.0,,,,,adj_other
pilgrim,pilgrim,3.69,Noun,7,7,2,pilgrim,6.26,1.0,6.26,1.0,,,,7.19,person
rack,rack,7.78,Noun,4,3,1,rack,6.26,1.0,6.26,1.0,,7.71,7.15,,device
respectful,respectful,1.9,Adjective,10,10,3,respectful,6.26,1.0,6.26,1.0,,,,,quality
smock,smock,0.49,Noun,5,4,1,smock,6.26,1.0,6.26,1.0,,,8.56,,clothing
sparkler,sparkler,0.06,Noun,8,8,3,sparkler,6.26,1.0,6.26,1.0,,,,,material
steam,steam,13.45,Noun,5,4,1,steam,6.26,1.0,6.26,1.0,,6.24,6.87,,relation
stretchy,stretchy,0.37,Adjective,8,6,2,stretchy,6.26,1.0,6.26,1.0,,,,,quality
