Word,Alternative.spelling,Freq_pm,Dom_PoS_SUBTLEX,Nletters,Nphon,Nsyll,Lemma_highest_PoS,AoA_Kup,Perc_known,AoA_Kup_lem,Perc_known_lem,AoA_Bird_lem,AoA_Bristol_lem,AoA_Cort_lem,AoA_Schock,mid_level_category
tacos,tacos,2.16,Noun,5,5,2,taco,,,7.72,1.0,,,,4.91,unknown_noun
tacticians,tacticians,0.02,Noun,10,9,3,tactician,,,14.85,0.68,,,,,unknown_noun
tadpoles,tadpoles,0.55,Noun,8,7,2,tadpole,,,6.37,1.0,,,,,unknown_noun
taffies,taffies,0.02,Noun,7,5,2,taffy,,,7.44,1.0,,,,6.26,unknown_noun
tagged,tagged,1.88,Verb,6,4,1,tag,,,5.0,1.0,,,4.93,,motion
tagging,tagging,0.9,Verb,7,5,2,tag,,,5.0,1.0,,,4.93,,motion
tags,tags,3.55,Noun,4,4,1,tag,,,5.0,1.0,,,4.93,,unknown_noun
tailbones,tailbones,0.02,Noun,9,7,2,tailbone,,,9.19,1.0,,,,,unknown_noun
tailcoats,tailcoats,0.04,Noun,9,7,2,tailcoat,,,12.33,0.95,,,,,unknown_noun
tailed,tailed,1.35,Verb,6,4,1,tail,,,3.7,1.0,,4.39,4.93,,motion
tailgated,tailgated,0.06,Verb,9,8,3,tailgate,,,11.28,1.0,,,,,motion
tailgaters,tailgaters,0.04,Noun,10,8,3,tailgater,,,12.85,1.0,,,,,unknown_noun
tailgates,tailgates,0.02,Noun,9,7,2,tailgate,,,11.28,1.0,,,,,unknown_noun
tailgating,tailgating,0.29,Verb,10,8,3,tailgate,,,11.28,1.0,,,,,motion
tailing,tailing,1.59,Verb,7,5,2,tail,,,3.7,1.0,,4.39,4.93,,motion
taillights,taillights,0.24,Noun,10,6,2,taillight,,,9.33,0.95,,,,,unknown_noun
tailored,tailored,0.51,Verb,8,5,2,tailor,,,9.83,1.0,,7.56,,9.22,change
tailoring,tailoring,0.29,Verb,9,6,3,tailor,,,9.83,1.0,,7.56,,9.22,change
tailors,tailors,0.33,Noun,7,5,2,tailor,,,9.83,1.0,,7.56,,9.22,unknown_noun
tailpipes,tailpipes,0.02,Noun,9,7,2,tailpipe,,,8.95,1.0,,,,,unknown_noun
tails,tails,5.69,Noun,5,4,1,tail,,,3.7,1.0,,4.39,4.93,,unknown_noun
tailwinds,tailwinds,0.16,Noun,9,8,2,tailwind,,,13.71,0.85,,,,,unknown_noun
tainting,tainting,0.08,Verb,8,6,2,taint,,,9.84,1.0,,,11.41,,body_action
taints,taints,0.04,Verb,6,5,1,taint,,,9.84,1.0,,,11.41,,body_action
takedowns,takedowns,0.1,Noun,9,7,2,takedown,,,11.5,1.0,,,,,unknown_noun
taken,taken,138.65,Verb,5,5,2,take,,,4.37,1.0,5.19,,4.57,,stative
takeoffs,takeoffs,0.16,Noun,8,6,2,takeoff,,,7.35,1.0,,,,,unknown_noun
takeovers,takeovers,0.14,Noun,9,7,3,takeover,,,10.16,1.0,,,,,unknown_noun
takers,takers,1.08,Noun,6,5,2,taker,,,7.9,1.0,,,,,unknown_noun
takes,takes,117.37,Verb,5,4,1,take,,,4.37,1.0,5.19,,4.57,,stative
taking,taking,240.45,Verb,6,5,2,take,,,4.37,1.0,5.19,,4.57,,stative
talents,talents,4.57,Noun,7,7,2,talent,,,7.0,1.0,,8.34,,6.75,unknown_noun
tales,tales,7.04,Noun,5,4,1,tale,,,6.32,1.0,5.02,5.77,5.99,,unknown_noun
talismans,talismans,0.31,Noun,9,9,3,talisman,,,12.67,0.79,,,,,unknown_noun
talked,talked,102.47,Verb,6,4,1,talk,,,3.68,1.0,4.3,,4.14,,communication
talkers,talkers,0.2,Noun,7,5,2,talker,,,5.74,1.0,,,,,unknown_noun
talkies,talkies,0.22,Noun,7,5,2,talkie,,,10.07,0.83,,,,,unknown_noun
talking,talking,497.75,Verb,7,5,2,talk,,,3.68,1.0,4.3,,4.14,,communication
talks,talks,23.84,Verb,5,4,1,talk,,,3.68,1.0,4.3,,4.14,,communication
