Word,Alternative.spelling,Freq_pm,Dom_PoS_SUBTLEX,Nletters,Nphon,Nsyll,Lemma_highest_PoS,AoA_Kup,Perc_known,AoA_Kup_lem,Perc_known_lem,AoA_Bird_lem,AoA_Bristol_lem,AoA_Cort_lem,AoA_Schock
recirculation,recirculation,0.02,Noun,13,12,5,recirculation,12.17,0.95,12.17,0.95,,,,
reevaluation,re-evaluation,0.10,Noun,12,12,6,reevaluation,12.17,1.00,12.17,1.00,,,,
reformation,reformation,0.20,Noun,11,9,4,reformation,12.17,1.00,12.17,1.00,,11.81,,
reinvigorate,reinvigorate,0.04,Verb,12,10,5,reinvigorate,12.17,0.95,12.17,0.95,,,,
reproducible,reproducible,0.04,Adjective,12,12,5,reproducible,12.17,0.95,12.17,0.95,,,,
retool,retool,0.10,Verb,6,5,2,retool,12.17,1.00,12.17,1.00,,,,
retract,retract,1.45,Verb,7,7,2,retract,12.17,1.00,12.17,1.00,,,,10.60
ruse,ruse,1.67,Noun,4,3,1,ruse,12.17,0.90,12.17,0.90,,,,
sentimentality,sentimentality,0.47,Noun,14,14,6,sentimentality,12.17,0.95,12.17,0.95,,,,
spherical,spherical,0.18,Adjective,9,8,3,spherical,12.17,0.95,12.17,0.95,,,,
steward,steward,2.75,Noun,7,5,2,steward,12.17,0.90,12.17,0.90,,9.70,,11.39
swoon,swoon,0.61,Verb,5,4,1,swoon,12.17,0.95,12.17,0.95,,,10.82,
thunderstruck,thunderstruck,0.04,Adjective,13,10,3,thunderstruck,12.17,0.90,12.17,0.90,,,,
transgression,transgression,0.49,Noun,13,11,3,transgression,12.17,0.90,12.17,0.90,,,,
trifle,trifle,2.10,Noun,6,6,2,trifle,12.17,0.95,12.17,0.95,,,,11.59
triumphal,triumphal,0.08,Adjective,9,8,3,triumphal,12.17,0.95,12.17,0.95,,,,
undercharged,undercharged,0.04,Adjective,12,9,3,undercharged,12.17,1.00,12.17,1.00,,,,
unqualified,unqualified,0.53,Adjective,11,10,4,unqualified,12.17,1.00,12.17,1.00,,,,
varicose,varicose,0.27,Adjective,8,7,3,varicose,12.17,0.86,12.17,0.86,,,,
vinaigrette,vinaigrette,0.27,Noun,11,8,3,vinaigrette,12.17,0.85,12.17,0.85,,,,
virginal,virginal,0.47,Adjective,8,7,3,virginal,12.17,0.86,12.17,0.86,,,,
visa,visa,4.24,Noun,4,4,2,visa,12.17,1.00,12.17,1.00,,12.06,,10.90
visionary,visionary,1.29,Adjective,9,8,4,visionary,12.17,1.00,12.17,1.00,,,,
voracious,voracious,0.33,Adjective,9,7,3,voracious,12.17,0.95,12.17,0.95,,,,
atheist,atheist,1.08,Noun,7,6,3,atheist,12.18,1.00,12.18,1.00,,,,
banknote,banknote,0.12,Noun,8,7,2,banknote,12.18,0.89,12.18,0.89,,,,
barometric,barometric,0.24,Adjective,10,10,4,barometric,12.18,0.89,12.18,0.89,,,,
briny,briny,0.59,Adjective,5,5,2,briny,12.18,0.58,12.18,0.58,,,,
burg,burg,0.55,Noun,4,3,1,burg,12.18,0.61,12.18,0.61,,,,
candelabrum,candelabrum,0.02,Noun,11,11,4,candelabrum,12.18,0.58,12.18,0.58,,,,
cashbook,cashbook,0.02,Noun,8,6,2,cashbook,12.18,0.85,12.18,0.85,,,,
chairlady,chairlady,0.14,Noun,9,7,4,chairlady,12.18,0.89,12.18,0.89,,,,
cherub,cherub,0.61,Noun,6,5,2,cherub,12.18,0.89,12.18,0.89,,,,12.01
cognizant,cognizant,0.22,Adjective,9,9,3,cognizant,12.18,0.94,12.18,0.94,,,,
computation,computation,0.08,Noun,11,11,4,computation,12.18,0.94,12.18,0.94,,,,
floozy,floozy,0.76,Noun,6,5,2,floozy,12.18,0.94,12.18,0.94,,,,12.11
ghostwrite,ghostwrite,0.02,Noun,10,7,2,ghostwrite,12.18,0.85,12.18,0.85,,,,
groundwork,groundwork,0.45,Noun,10,8,2,groundwork,12.18,1.00,12.18,1.00,,,,
headhunter,headhunter,0.18,Noun,10,8,3,headhunter,12.18,0.89,12.18,0.89,,,,
houseboy,houseboy,0.71,Noun,8,5,2,houseboy,12.18,0.85,12.18,0.85,,,,
impaction,impaction,0.02,Noun,9,8,3,impaction,12.18,0.94,12.18,0.94,,,,
imprecise,imprecise,0.16,Adjective,9,8,3,imprecise,12.18,0.89,12.18,0.89,,,,
inclusion,inclusion,0.20,Noun,9,8,3,inclusion,12.18,0.94,12.18,0.94,,,,
parasol,parasol,0.51,Noun,7,7,3,parasol,12.18,0.89,12.18,0.89,,,,
pumice,pumice,0.14,Noun,6,5,2,pumice,12.18,0.94,12.18,0.94,,,,
pyrite,pyrite,0.04,Noun,6,5,2,pyrite,12.18,0.85,12.18,0.85,,,,
railhead,railhead,0.06,Noun,8,6,2,railhead,12.18,0.61,12.18,0.61,,,,
receptivity,receptivity,0.02,Noun,11,11,5,receptivity,12.18,0.94,12.18,0.94,,,,
skywriter,skywriter,0.02,Noun,9,7,3,skywriter,12.18,0.89,12.18,0.89,,,,
slacken,slacken,0.10,Verb,7,6,2,slacken,12.18,0.89,12.18,0.89,,,,
strenuous,strenuous,0.59,Adjective,9,9,3,strenuous,12.18,0.94,12.18,0.94,,,,
supplication,supplication,0.12,Noun,12,10,4,supplication,12.18,0.94,12.18,0.94,,,,
testosterone,testosterone,1.63,Noun,12,10,4,testosterone,12.18,0.94,12.18,0.94,,,,
trowel,trowel,0.27,Noun,6,6,2,trowel,12.18,0.94,12.18,0.94,,,,
unhindered,unhindered,0.02,Adjective,10,8,3,unhindered,12.18,0.94,12.18,0.94,,,,
untiring,untiring,0.12,Adjective,8,7,4,untiring,12.18,0.89,12.18,0.89,,,,
beltway,beltway,0.25,Noun,7,6,2,beltway,12.19,0.84,12.19,0.84,,,,
brazen,brazen,1.18,Adjective,6,6,2,brazen,12.19,0.89,12.19,0.89,,13.32,,
cahoots,cahoots,0.63,Noun,7,6,2,cahoots,12.19,0.84,12.19,0.84,,,,
caterer,caterer,2.08,Noun,7,5,3,caterer,12.19,0.89,12.19,0.89,,,,
changelessness,changelessness,0.02,Noun,14,10,3,changelessness,12.19,0.89,12.19,0.89,,,,
chaplain,chaplain,2.27,Noun,8,6,2,chaplain,12.19,0.84,12.19,0.84,,,,12.32
clansman,clansman,0.06,Noun,8,8,2,clansman,12.19,0.89,12.19,0.89,,,,
concierge,concierge,1.43,Noun,9,8,3,concierge,12.19,0.84,12.19,0.84,,,,
contestation,contestation,0.04,Noun,12,11,4,contestation,12.19,0.80,12.19,0.80,,,,
devaluate,devaluate,0.02,Verb,9,9,4,devaluate,12.19,0.80,12.19,0.80,,,,
devoid,devoid,0.71,Adjective,6,5,2,devoid,12.19,0.89,12.19,0.89,,,,12.32
dockhand,dockhand,#N/A,#N/A,8,7,2,dockhand,12.19,0.84,12.19,0.84,,,,
dubious,dubious,1.43,Adjective,7,6,3,dubious,12.19,0.89,12.19,0.89,,11.43,,
emanate,emanate,0.24,Verb,7,6,3,emanate,12.19,0.89,12.19,0.89,,,,
flail,flail,0.18,Noun,5,4,1,flail,12.19,0.73,12.19,0.73,,,10.32,
importation,importation,0.08,Noun,11,10,4,importation,12.19,0.89,12.19,0.89,,,,
incinerator,incinerator,0.75,Noun,11,9,5,incinerator,12.19,1.00,12.19,1.00,,,,
irreducible,irreducible,0.02,Adjective,11,10,5,irreducible,12.19,0.84,12.19,0.84,,,,
lewd,lewd,1.27,Adjective,4,3,1,lewd,12.19,0.89,12.19,0.89,,,12.15,
macadamia,macadamia,0.61,Noun,9,9,5,macadamia,12.19,0.84,12.19,0.84,,,,
monarchist,monarchist,0.02,Noun,10,9,3,monarchist,12.19,0.89,12.19,0.89,,,,
motley,motley,0.51,Adjective,6,5,2,motley,12.19,0.89,12.19,0.89,,,,12.22
neural,neural,1.96,Adjective,6,5,2,neural,12.19,0.84,12.19,0.84,,13.17,,11.90
permanence,permanence,0.22,Noun,10,8,3,permanence,12.19,0.89,12.19,0.89,,,,
rankness,rankness,0.02,Noun,8,7,2,rankness,12.19,0.84,12.19,0.84,,,,
reparative,reparative,0.08,Adjective,10,8,4,reparative,12.19,0.84,12.19,0.84,,,,
rousing,rousing,0.49,Adjective,7,5,2,rousing,12.19,0.89,12.19,0.89,,,,
slightness,slightness,0.02,Noun,10,7,2,slightness,12.19,0.89,12.19,0.89,,,,
soldiery,soldiery,0.04,Noun,8,7,3,soldiery,12.19,0.84,12.19,0.84,,,,
subhuman,subhuman,0.22,Noun,8,9,3,subhuman,12.19,0.89,12.19,0.89,,,,
triad,triad,3.43,Noun,5,5,2,triad,12.19,0.84,12.19,0.84,,,,12.11
unorthodox,unorthodox,1.41,Adjective,10,10,4,unorthodox,12.19,0.89,12.19,0.89,,,,
unsheathe,unsheathe,0.02,Verb,9,5,2,unsheathe,12.19,0.84,12.19,0.84,,,,
unwearied,unwearied,0.02,Adjective,9,7,3,unwearied,12.19,0.84,12.19,0.84,,,,
brakeman,brakeman,0.10,Noun,8,7,2,brakeman,12.20,0.79,12.20,0.79,,,,
byway,byway,0.14,Noun,5,4,2,byway,12.20,0.71,12.20,0.71,,,,
chassis,chassis,0.65,Noun,7,4,2,chassis,12.20,0.83,12.20,0.83,,11.55,,12.75
chinwag,chinwag,0.02,Noun,7,6,2,chinwag,12.20,0.25,12.20,0.25,,,,
connive,connive,0.04,Verb,7,5,2,connive,12.20,0.83,12.20,0.83,,,,
counterpuncher,counterpuncher,0.02,Noun,14,10,4,counterpuncher,12.20,0.83,12.20,0.83,,,,
cyclic,cyclic,0.18,Adjective,6,6,2,cyclic,12.20,0.83,12.20,0.83,,,,
declaim,declaim,0.02,Verb,7,6,2,declaim,12.20,0.83,12.20,0.83,,,,
designator,designator,0.04,Noun,10,9,4,designator,12.20,1.00,12.20,1.00,,,,
disused,disused,0.10,Adjective,7,7,2,disused,12.20,0.83,12.20,0.83,,,,
enplane,enplane,0.02,Noun,7,6,2,enplane,12.20,0.53,12.20,0.53,,,,
fauna,fauna,0.53,Noun,5,4,2,fauna,12.20,0.79,12.20,0.79,,,,12.43
hemlock,hemlock,0.63,Noun,7,6,2,hemlock,12.20,0.79,12.20,0.79,,,,12.75
hereupon,hereupon,#N/A,#N/A,8,7,3,hereupon,12.20,0.79,12.20,0.79,,,,
hominoid,hominoid,0.04,Noun,8,7,3,hominoid,12.20,0.56,12.20,0.56,,,,
liposuction,liposuction,0.78,Noun,11,10,4,liposuction,12.20,1.00,12.20,1.00,,,,
lode,lode,0.80,Noun,4,3,1,lode,12.20,0.83,12.20,0.83,,,11.70,
portability,portability,0.02,Noun,11,11,5,portability,12.20,1.00,12.20,1.00,,,,
prepay,prepay,0.12,Verb,6,5,2,prepay,12.20,1.00,12.20,1.00,,,,
proficiency,proficiency,0.41,Noun,11,10,4,proficiency,12.20,1.00,12.20,1.00,,,,
propound,propound,0.04,Verb,8,7,2,propound,12.20,0.56,12.20,0.56,,,,
quarterstaff,quarterstaff,0.06,Noun,12,10,3,quarterstaff,12.20,0.79,12.20,0.79,,,,
railbird,railbird,0.02,Noun,8,6,2,railbird,12.20,0.56,12.20,0.56,,,,
spectrum,spectrum,2.16,Noun,8,8,2,spectrum,12.20,1.00,12.20,1.00,,,,11.59
stagy,stagy,0.04,Adjective,5,5,2,stagy,12.20,0.53,12.20,0.53,,,,
strongpoint,strongpoint,0.04,Noun,11,9,2,strongpoint,12.20,0.79,12.20,0.79,,,,
summons,summons,1.59,Noun,7,6,2,summons,12.20,1.00,12.20,1.00,,,,11.29
telemarketer,telemarketer,0.20,Noun,12,11,5,telemarketer,12.20,1.00,12.20,1.00,,,,
temptress,temptress,0.45,Noun,9,8,2,temptress,12.20,1.00,12.20,1.00,,,,
tinderbox,tinderbox,0.04,Noun,9,9,3,tinderbox,12.20,0.83,12.20,0.83,,,,
tittle,tittle,0.12,Noun,6,5,2,tittle,12.20,0.83,12.20,0.83,,,,
abort,abort,4.61,Verb,5,5,2,abort,12.21,1.00,12.21,1.00,,,,10.04
allergist,allergist,0.04,Noun,9,7,3,allergist,12.21,1.00,12.21,1.00,,,,
appalling,appalling,1.94,Adjective,9,6,3,appalling,12.21,0.95,12.21,0.95,,,,
astonish,astonish,0.45,Verb,8,7,3,astonish,12.21,0.95,12.21,0.95,,,,
barrelhead,barrelhead,0.31,Noun,10,8,3,barrelhead,12.21,0.74,12.21,0.74,,,,
bushwhack,bushwhack,0.20,Verb,9,6,2,bushwhack,12.21,1.00,12.21,1.00,,,,
chairmanship,chairmanship,0.22,Noun,12,9,3,chairmanship,12.21,1.00,12.21,1.00,,,,
chitlins,chitlins,0.47,Noun,8,7,2,chitlins,12.21,0.74,12.21,0.74,,,,
diplomatic,diplomatic,5.02,Adjective,10,10,4,diplomatic,12.21,1.00,12.21,1.00,,,,
disenchantment,disenchantment,0.08,Noun,14,13,4,disenchantment,12.21,1.00,12.21,1.00,,,,
disorient,disorient,0.08,Noun,9,9,4,disorient,12.21,0.90,12.21,0.90,,,,
dovetail,dovetail,0.08,Verb,8,6,2,dovetail,12.21,0.95,12.21,0.95,,,,
elude,elude,0.41,Verb,5,4,2,elude,12.21,0.90,12.21,0.90,,12.60,,
emancipate,emancipate,0.16,Verb,10,9,4,emancipate,12.21,1.00,12.21,1.00,,,,
embezzle,embezzle,0.16,Verb,8,7,3,embezzle,12.21,1.00,12.21,1.00,,,,
enliven,enliven,0.02,Verb,7,7,3,enliven,12.21,0.78,12.21,0.78,,,,
exclamatory,exclamatory,0.02,Adjective,11,12,5,exclamatory,12.21,1.00,12.21,1.00,,,,
finagle,finagle,0.20,Verb,7,7,3,finagle,12.21,0.74,12.21,0.74,,,,
fluster,fluster,0.06,Noun,7,6,2,fluster,12.21,1.00,12.21,1.00,,,,
handbill,handbill,0.20,Noun,8,7,2,handbill,12.21,0.78,12.21,0.78,,,,
hotplate,hotplate,0.10,Noun,8,7,2,hotplate,12.21,1.00,12.21,1.00,,,,
hypothesize,hypothesise,0.08,Verb,11,9,4,hypothesize,12.21,1.00,12.21,1.00,,,,
ignition,ignition,4.16,Noun,8,7,3,ignition,12.21,1.00,12.21,1.00,,9.87,,
immediacy,immediacy,0.16,Noun,9,8,5,immediacy,12.21,1.00,12.21,1.00,,,,
imminence,imminence,0.08,Noun,9,7,3,imminence,12.21,0.95,12.21,0.95,,,,
incommunicative,incommunicative,0.02,Adjective,15,14,6,incommunicative,12.21,1.00,12.21,1.00,,,,
indistinguishable,indistinguishable,0.27,Adjective,17,16,6,indistinguishable,12.21,1.00,12.21,1.00,,,,
ingest,ingest,0.45,Adjective,6,6,2,ingest,12.21,1.00,12.21,1.00,,,,
ingratitude,ingratitude,0.27,Noun,11,10,4,ingratitude,12.21,1.00,12.21,1.00,,,,
insole,insole,0.04,Noun,6,5,2,insole,12.21,0.74,12.21,0.74,,,,
instinctual,instinctual,0.20,Adjective,11,12,4,instinctual,12.21,1.00,12.21,1.00,,,,
jailbait,jailbait,0.27,Noun,8,6,2,jailbait,12.21,0.95,12.21,0.95,,,,
knickerbockers,knickerbockers,0.08,Noun,14,9,4,knickerbockers,12.21,0.78,12.21,0.78,,,,
lustful,lustful,0.39,Adjective,7,7,2,lustful,12.21,1.00,12.21,1.00,,,,
masturbate,masturbate,1.22,Verb,10,8,3,masturbate,12.21,1.00,12.21,1.00,,,,
monopolize,monopolise,0.27,Verb,10,9,4,monopolize,12.21,1.00,12.21,1.00,,,,
nonfunctional,non-functional,0.08,Adjective,13,12,4,nonfunctional,12.21,1.00,12.21,1.00,,,,
northeasterly,north-easterly,0.02,Adjective,13,10,4,northeasterly,12.21,0.95,12.21,0.95,,,,
obligatory,obligatory,0.41,Adjective,10,10,5,obligatory,12.21,0.95,12.21,0.95,,,,
opportunistic,opportunistic,0.27,Adjective,13,11,5,opportunistic,12.21,1.00,12.21,1.00,,,,
overlay,overlay,0.61,Noun,7,5,3,overlay,12.21,1.00,12.21,1.00,,,,
philistine,philistine,0.94,Noun,10,8,3,philistine,12.21,1.00,12.21,1.00,,,,
playboy,playboy,4.24,Noun,7,5,2,playboy,12.21,1.00,12.21,1.00,,,,
proprietor,proprietor,1.18,Noun,10,9,4,proprietor,12.21,1.00,12.21,1.00,,11.02,,
provocative,provocative,1.61,Adjective,11,10,4,provocative,12.21,1.00,12.21,1.00,,,,
rebate,rebate,0.31,Noun,6,5,2,rebate,12.21,0.95,12.21,0.95,,,,
recoverable,recoverable,0.10,Adjective,11,10,5,recoverable,12.21,1.00,12.21,1.00,,,,
respiration,respiration,1.24,Noun,11,9,4,respiration,12.21,1.00,12.21,1.00,,,,
software,software,8.43,Noun,8,7,2,software,12.21,1.00,12.21,1.00,,,,
songster,songster,0.04,Noun,8,6,2,songster,12.21,0.74,12.21,0.74,,,,
sunspot,sunspot,0.25,Noun,7,7,2,sunspot,12.21,1.00,12.21,1.00,,,,
taxidermy,taxidermy,0.16,Noun,9,9,4,taxidermy,12.21,0.95,12.21,0.95,,,,
terrestrial,terrestrial,0.22,Adjective,11,9,4,terrestrial,12.21,0.95,12.21,0.95,,,,
thousandfold,thousandfold,0.06,Noun,12,10,3,thousandfold,12.21,0.90,12.21,0.90,,,,
transitional,transitional,0.45,Adjective,12,11,4,transitional,12.21,0.95,12.21,0.95,,,,
trendsetting,trendsetting,0.04,Verb,12,10,3,trendsetting,12.21,1.00,12.21,1.00,,,,
underscore,underscore,0.06,Verb,10,8,3,underscore,12.21,0.95,12.21,0.95,,,,
abrasive,abrasive,0.45,Adjective,8,7,3,abrasive,12.22,1.00,12.22,1.00,,,,
adherence,adherence,0.18,Noun,9,8,3,adherence,12.22,1.00,12.22,1.00,,11.81,,
administrator,administrator,1.65,Noun,13,12,5,administrator,12.22,1.00,12.22,1.00,11.41,,,
adobe,adobe,0.47,Noun,5,5,3,adobe,12.22,0.95,12.22,0.95,,,,
adulteress,adulteress,0.25,Noun,10,8,4,adulteress,12.22,1.00,12.22,1.00,,,,
affinity,affinity,0.57,Noun,8,7,4,affinity,12.22,1.00,12.22,1.00,,,,
airstream,airstream,0.16,Noun,9,8,3,airstream,12.22,1.00,12.22,1.00,,,,
alpha,alpha,8.12,Noun,5,4,2,alpha,12.22,1.00,12.22,1.00,,,,10.70
amethyst,amethyst,0.12,Noun,8,7,3,amethyst,12.22,1.00,12.22,1.00,,11.13,,
behemoth,behemoth,0.20,Noun,8,7,3,behemoth,12.22,1.00,12.22,1.00,,,,
bimbo,bimbo,2.10,Noun,5,5,2,bimbo,12.22,1.00,12.22,1.00,,,,10.99
camaraderie,camaraderie,0.53,Noun,11,8,5,camaraderie,12.22,1.00,12.22,1.00,,,,
chloride,chloride,0.90,Noun,8,6,2,chloride,12.22,1.00,12.22,1.00,,,,
contaminant,contaminant,0.06,Noun,11,11,4,contaminant,12.22,1.00,12.22,1.00,,,,
crosshatch,crosshatch,0.02,Noun,10,7,2,crosshatch,12.22,0.95,12.22,0.95,,,,
dingle,dingle,0.24,Noun,6,6,2,dingle,12.22,0.50,12.22,0.50,,,,
endorsement,endorsement,1.39,Noun,11,10,3,endorsement,12.22,1.00,12.22,1.00,,,,
exhalation,exhalation,0.06,Noun,10,10,4,exhalation,12.22,1.00,12.22,1.00,,,,
fluctuate,fluctuate,0.22,Verb,9,9,3,fluctuate,12.22,1.00,12.22,1.00,,,,
fraught,fraught,0.69,Adjective,7,4,1,fraught,12.22,1.00,12.22,1.00,,,11.93,
gangplank,gangplank,0.39,Noun,9,8,2,gangplank,12.22,0.50,12.22,0.50,,,,
glutton,glutton,0.61,Noun,7,6,2,glutton,12.22,1.00,12.22,1.00,,,,12.01
heterosexual,heterosexual,1.73,Adjective,12,13,6,heterosexual,12.22,1.00,12.22,1.00,,,,
hypochondriac,hypochondriac,0.39,Noun,13,12,5,hypochondriac,12.22,1.00,12.22,1.00,,,,
iconic,iconic,0.20,Adjective,6,6,3,iconic,12.22,0.95,12.22,0.95,,,,
impalement,impalement,0.12,Noun,10,9,3,impalement,12.22,1.00,12.22,1.00,,,,
implication,implication,0.94,Noun,11,10,4,implication,12.22,1.00,12.22,1.00,11.61,,,
incandescence,incandescence,0.14,Noun,13,11,4,incandescence,12.22,0.95,12.22,0.95,,,,
inhabit,inhabit,0.65,Verb,7,7,3,inhabit,12.22,0.95,12.22,0.95,,,,
innermost,innermost,0.73,Adjective,9,7,3,innermost,12.22,1.00,12.22,1.00,,,,
irrepressible,irrepressible,0.20,Adjective,13,11,5,irrepressible,12.22,1.00,12.22,1.00,,,,
leniency,leniency,0.43,Noun,8,8,3,leniency,12.22,1.00,12.22,1.00,,,,
linguine,linguine,0.25,Noun,8,8,3,linguine,12.22,0.90,12.22,0.90,,,,
logbook,logbook,0.29,Noun,7,6,2,logbook,12.22,1.00,12.22,1.00,,,,
lust,lust,5.57,Noun,4,4,1,lust,12.22,1.00,12.22,1.00,12.04,11.32,10.77,
mettlesome,mettlesome,0.02,Adjective,10,8,3,mettlesome,12.22,0.95,12.22,0.95,,,,
mimeo,mimeo,0.08,Noun,5,5,3,mimeo,12.22,0.45,12.22,0.45,,,,
mockery,mockery,1.84,Noun,7,5,3,mockery,12.22,1.00,12.22,1.00,,,,
mooring,mooring,0.25,Adjective,7,5,2,mooring,12.22,0.47,12.22,0.47,,10.94,,
motile,motile,0.04,Adjective,6,5,2,motile,12.22,0.50,12.22,0.50,,,,
muster,muster,1.49,Verb,6,5,2,muster,12.22,1.00,12.22,1.00,,,,11.70
nonexclusive,nonexclusive,0.06,Adjective,12,12,4,nonexclusive,12.22,1.00,12.22,1.00,,,,
oppression,oppression,1.49,Noun,10,7,3,oppression,12.22,1.00,12.22,1.00,,,,
oversimplification,oversimplification,0.04,Noun,18,16,7,oversimplification,12.22,0.95,12.22,0.95,,,,
pathfinder,pathfinder,0.12,Noun,10,8,3,pathfinder,12.22,0.95,12.22,0.95,,,,
postmortem,post-mortem,1.31,Noun,10,10,3,postmortem,12.22,1.00,12.22,1.00,,,,
preside,preside,0.33,Verb,7,6,2,preside,12.22,0.90,12.22,0.90,,,,
prestigious,prestigious,1.76,Adjective,11,9,3,prestigious,12.22,0.95,12.22,0.95,,,,
rationalization,rationalisation,0.29,Noun,15,13,6,rationalization,12.22,1.00,12.22,1.00,,,,
ravishing,ravishing,1.55,Adjective,9,7,3,ravishing,12.22,1.00,12.22,1.00,,,,
rejuvenated,rejuvenated,0.14,Adjective,11,11,5,rejuvenated,12.22,1.00,12.22,1.00,,,,
resiliency,resiliency,0.06,Noun,10,10,4,resiliency,12.22,0.86,12.22,0.86,,,,
revalue,revalue,0.02,Verb,7,7,3,revalue,12.22,1.00,12.22,1.00,,,,
screenplay,screenplay,2.61,Noun,10,8,2,screenplay,12.22,1.00,12.22,1.00,,,,
scurf,scurf,0.02,Noun,5,5,1,scurf,12.22,0.47,12.22,0.47,,,,
stressor,stressor,0.25,Noun,8,6,2,stressor,12.22,1.00,12.22,1.00,,,,
strongbox,strongbox,0.31,Noun,9,9,2,strongbox,12.22,0.95,12.22,0.95,,,,
stupefy,stupefy,0.08,Verb,7,7,3,stupefy,12.22,1.00,12.22,1.00,,,,
surname,surname,0.94,Noun,7,5,2,surname,12.22,1.00,12.22,1.00,,,,
tier,tier,1.06,Noun,4,3,1,tier,12.22,1.00,12.22,1.00,,,10.87,
uncommitted,uncommitted,0.12,Adjective,11,9,4,uncommitted,12.22,1.00,12.22,1.00,,,,
unemployable,unemployable,0.18,Adjective,12,11,5,unemployable,12.22,1.00,12.22,1.00,,,,
unfertilized,unfertilized,0.04,Adjective,12,10,4,unfertilized,12.22,1.00,12.22,1.00,,,,
whore,whore,21.10,Noun,5,3,1,whore,12.22,1.00,12.22,1.00,,,12.15,
winch,winch,1.35,Noun,5,4,1,winch,12.22,0.95,12.22,0.95,,,12.39,
abalone,abalone,0.51,Verb,7,7,4,abalone,12.23,0.72,12.23,0.72,,,,
divination,divination,0.10,Noun,10,9,4,divination,12.23,0.72,12.23,0.72,,,,
featherbrain,featherbrain,0.02,Verb,12,8,3,featherbrain,12.23,0.72,12.23,0.72,,,,
gloaming,gloaming,0.08,Noun,8,6,2,gloaming,12.23,0.72,12.23,0.72,,,,
gorger,gorger,0.02,Noun,6,5,2,gorger,12.23,0.68,12.23,0.68,,,,
guilder,guilder,0.27,Noun,7,5,2,guilder,12.23,0.72,12.23,0.72,,,,
intolerable,intolerable,1.35,Adjective,11,10,5,intolerable,12.23,1.00,12.23,1.00,,,,
ironworks,ironworks,0.16,Noun,9,7,3,ironworks,12.23,0.72,12.23,0.72,,,,
nether,nether,0.39,Adjective,6,4,2,nether,12.23,0.72,12.23,0.72,,,,
paramedical,paramedical,0.02,Adjective,11,11,5,paramedical,12.23,0.72,12.23,0.72,,,,
subhead,subhead,0.02,Noun,7,6,2,subhead,12.23,0.72,12.23,0.72,,,,
supposition,supposition,0.31,Noun,11,9,4,supposition,12.23,0.68,12.23,0.68,,12.11,,
unanimity,unanimity,0.04,Noun,9,10,5,unanimity,12.23,0.62,12.23,0.62,,12.90,,
beau,beau,5.84,Unclassified,4,2,1,beau,12.23,1.00,12.23,1.00,,11.96,11.63,
affirm,affirm,0.33,Verb,6,4,2,affirm,12.24,0.94,12.24,0.94,11.98,,,
assail,assail,0.10,Verb,6,4,2,assail,12.24,0.94,12.24,0.94,,,,
assertion,assertion,0.27,Noun,9,6,3,assertion,12.24,0.94,12.24,0.94,,,,
circumcise,circumcise,0.08,Verb,10,8,3,circumcise,12.24,0.95,12.24,0.95,,,,
damnable,damnable,0.29,Adjective,8,7,3,damnable,12.24,0.85,12.24,0.85,,,,
debark,debark,0.06,Verb,6,6,2,debark,12.24,0.94,12.24,0.94,,,,
deter,deter,0.39,Verb,5,4,2,deter,12.24,0.94,12.24,0.94,,,,
dignitary,dignitary,0.12,Noun,9,9,4,dignitary,12.24,0.94,12.24,0.94,,,,
disposition,disposition,2.16,Noun,11,10,4,disposition,12.24,1.00,12.24,1.00,,,,
enunciation,enunciation,0.10,Noun,11,10,5,enunciation,12.24,0.94,12.24,0.94,,13.23,,
factoid,factoid,0.06,Noun,7,6,2,factoid,12.24,0.89,12.24,0.89,,,,
ferocity,ferocity,0.20,Noun,8,7,4,ferocity,12.24,0.85,12.24,0.85,,,,
foreseeable,foreseeable,0.37,Adjective,11,9,4,foreseeable,12.24,0.94,12.24,0.94,,,,
foursome,foursome,0.65,Noun,8,6,2,foursome,12.24,1.00,12.24,1.00,,,,
granite,granite,1.59,Noun,7,6,2,granite,12.24,0.94,12.24,0.94,,11.00,,10.80
guardroom,guardroom,0.20,Noun,9,7,2,guardroom,12.24,1.00,12.24,1.00,,,,
hanker,hanker,0.22,Noun,6,5,2,hanker,12.24,0.85,12.24,0.85,,,,
heady,heady,0.39,Adjective,5,4,2,heady,12.24,0.77,12.24,0.77,,,,
hindsight,hindsight,0.90,Noun,9,7,2,hindsight,12.24,0.94,12.24,0.94,,,,
immobility,immobility,0.04,Noun,10,9,5,immobility,12.24,1.00,12.24,1.00,,,,
inducer,inducer,0.16,Noun,7,6,3,inducer,12.24,0.89,12.24,0.89,,,,
inductor,inductor,0.06,Noun,8,7,3,inductor,12.24,0.94,12.24,0.94,,,,
inheritable,inheritable,0.02,Adjective,11,11,5,inheritable,12.24,0.94,12.24,0.94,,,,
intonation,intonation,0.20,Noun,10,9,4,intonation,12.24,0.81,12.24,0.81,,,,
melee,melee,0.27,Noun,5,4,2,melee,12.24,0.89,12.24,0.89,,12.24,,
minibus,minibus,0.55,Noun,7,7,3,minibus,12.24,0.89,12.24,0.89,,,,
misapplication,misapplication,0.02,Noun,14,12,5,misapplication,12.24,0.94,12.24,0.94,,,,
mull,mull,0.47,Verb,4,3,1,mull,12.24,0.89,12.24,0.89,,,11.34,
operatic,operatic,0.27,Adjective,8,7,4,operatic,12.24,0.94,12.24,0.94,,,,
