Word,Alternative.spelling,Freq_pm,Dom_PoS_SUBTLEX,Nletters,Nphon,Nsyll,Lemma_highest_PoS,AoA_Kup,Perc_known,AoA_Kup_lem,Perc_known_lem,AoA_Bird_lem,AoA_Bristol_lem,AoA_Cort_lem,AoA_Schock
hat,hat,64.18,Noun,3,3,1,hat,3.33,1.00,3.33,1.00,,,3.78,
toothpaste,toothpaste,3.14,Noun,10,7,2,toothpaste,3.33,1.00,3.33,1.00,,,,
icecream,ice cream,#N/A,#N/A,8,6,2,icecream,3.33,1.00,3.33,1.00,,,,
underpants,underpants,2.94,Noun,10,9,3,underpants,3.35,1.00,3.35,1.00,,,,
car,car,483.06,Noun,3,3,1,car,3.37,1.00,3.37,1.00,,4.14,3.75,
cookie,cookie,16.71,Noun,6,4,2,cookie,3.37,1.00,3.37,1.00,,,,3.82
go,go,3793.04,Verb,2,2,1,go,3.37,1.00,3.37,1.00,4.37,,3.05,
hot,hot,189.84,Adjective,3,3,1,hot,3.37,1.00,3.37,1.00,3.73,,3.52,
milk,milk,42.53,Noun,4,4,1,milk,3.37,1.00,3.37,1.00,,4.05,3.63,
sleepy,sleepy,8.57,Adjective,6,5,2,sleepy,3.37,1.00,3.37,1.00,,,,
backyard,backyard,7.24,Noun,8,7,2,backyard,3.38,1.00,3.38,1.00,,,,
family,family,354.25,Noun,6,6,3,family,3.38,1.00,3.38,1.00,,5.71,,
clap,clap,4.73,Verb,4,4,1,clap,3.40,1.00,3.40,1.00,,,4.18,
diaper,diaper,4.27,Noun,6,4,2,diaper,3.40,0.95,3.40,0.95,,,,4.24
sun,sun,69.67,Noun,3,3,1,sun,3.40,1.00,3.40,1.00,,3.84,3.37,
bean,bean,6.84,Noun,4,3,1,bean,3.42,1.00,3.42,1.00,,,4.67,
head,head,371.51,Noun,4,3,1,head,3.42,1.00,3.42,1.00,8.19,3.84,3.58,
say,say,1639.78,Verb,3,2,1,say,3.42,1.00,3.42,1.00,4.99,,4.01,
yummy,yummy,4.47,Adjective,5,4,2,yummy,3.42,1.00,3.42,1.00,,,,3.57
him,him,3484.51,Pronoun,3,3,1,him,3.43,1.00,3.43,1.00,4.37,,3.40,
okay,okay,2006.27,Adverb,4,3,2,okay,3.43,0.95,3.43,0.95,6.34,,,3.91
