"downloaded","language","form","form_type","data_id","child_id","age","measure","vocab","n","first_administration","monolingual","typically_developing"
2023-11-30,"English (American)","WG","WG",194779,83413,8,"comprehension",18,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194787,83417,8,"comprehension",0,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194819,83433,8,"comprehension",0,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194841,83444,8,"comprehension",2,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194849,83448,8,"comprehension",0,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194854,4573,8,"comprehension",37,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194863,83455,8,"comprehension",7,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194868,4580,8,"comprehension",5,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194870,4581,8,"comprehension",117,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194895,83471,8,"comprehension",19,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194899,4595,8,"comprehension",11,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194910,83479,8,"comprehension",14,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194916,83482,8,"comprehension",7,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194932,83490,8,"comprehension",11,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194935,4613,8,"comprehension",67,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194938,83493,8,"comprehension",17,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194939,4615,8,"comprehension",66,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194948,83498,8,"comprehension",20,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194949,4620,8,"comprehension",4,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194955,4623,8,"comprehension",28,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194970,83509,8,"comprehension",27,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",194992,83520,8,"comprehension",37,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195020,83534,8,"comprehension",136,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195026,83537,8,"comprehension",14,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195044,83546,8,"comprehension",32,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195050,83549,8,"comprehension",8,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195074,83561,8,"comprehension",3,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195093,83571,8,"comprehension",41,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195109,83579,8,"comprehension",0,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195127,83588,8,"comprehension",21,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195139,83594,8,"comprehension",54,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195145,83597,8,"comprehension",70,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195161,83605,8,"comprehension",32,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195167,83608,8,"comprehension",215,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195177,83613,8,"comprehension",22,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195183,83616,8,"comprehension",169,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195193,83621,8,"comprehension",392,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195205,83627,8,"comprehension",16,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195213,83631,8,"comprehension",17,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195231,83640,8,"comprehension",258,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195252,83651,8,"comprehension",1,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195254,83652,8,"comprehension",7,3676,TRUE,TRUE,TRUE
